university,level,role,facts,url,hint
harvard,ug,admissions,"deadline,documents,eligibility,tuition",https://college.harvard.edu/admissions,https://www.google.com/search?q=site:harvard.edu+application+deadline+required+documents
harvard,ug,fees,tuition,https://college.harvard.edu/financial-aid/how-aid-works#cost-of-attendance,https://www.google.com/search?q=site:harvard.edu+tuition+fee+per+year+cost
harvard,ug,english,english,,https://www.google.com/search?q=site:harvard.edu+TOEFL+IELTS+minimum+score+english+language+requirement
harvard,ug,program,"language,duration",https://college.harvard.edu/academics/liberal-arts-sciences,https://www.google.com/search?q=site:harvard.edu+programme+duration+language+of+instruction
harvard,ug,about,city,https://www.harvard.edu/about/,https://www.google.com/search?q=site:harvard.edu+campus+location+city
harvard,pg,admissions,"deadline,documents,eligibility,tuition",https://gsas.harvard.edu/apply/applying-degree-programs,https://www.google.com/search?q=site:harvard.edu+application+deadline+required+documents
harvard,pg,fees,tuition,https://gsas.harvard.edu/apply/cost-attendance-2026-2027,https://www.google.com/search?q=site:harvard.edu+tuition+fee+per+year+cost
harvard,pg,english,english,https://gsas.harvard.edu/apply/applying-degree-programs/english-proficiency,https://www.google.com/search?q=site:harvard.edu+TOEFL+IELTS+minimum+score+english+language+requirement
harvard,pg,program,"language,duration",,https://www.google.com/search?q=site:harvard.edu+programme+duration+language+of+instruction
harvard,pg,about,city,https://www.harvard.edu/about/,https://www.google.com/search?q=site:harvard.edu+campus+location+city
mit,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:mit.edu+application+deadline+required+documents
mit,ug,fees,tuition,,https://www.google.com/search?q=site:mit.edu+tuition+fee+per+year+cost
mit,ug,english,english,https://mitadmissions.org/apply/firstyear/tests-scores/,https://www.google.com/search?q=site:mit.edu+TOEFL+IELTS+minimum+score+english+language+requirement
mit,ug,program,"language,duration",,https://www.google.com/search?q=site:mit.edu+programme+duration+language+of+instruction
mit,ug,about,city,https://www.mit.edu/about/,https://www.google.com/search?q=site:mit.edu+campus+location+city
mit,pg,admissions,"deadline,documents,eligibility",https://gradadmissions.mit.edu/programs/deadlines,https://www.google.com/search?q=site:mit.edu+application+deadline+required+documents
mit,pg,fees,tuition,https://registrar.mit.edu/registration-academics/tuition-fees/graduate,https://www.google.com/search?q=site:mit.edu+tuition+fee+per+year+cost
mit,pg,english,english,https://oge.mit.edu/graduate-admissions/applications/standardized-tests/toefl-ibt/,https://www.google.com/search?q=site:mit.edu+TOEFL+IELTS+minimum+score+english+language+requirement
mit,pg,program,"language,duration",https://gradadmissions.mit.edu/programs/,https://www.google.com/search?q=site:mit.edu+programme+duration+language+of+instruction
mit,pg,about,city,https://www.mit.edu/about/,https://www.google.com/search?q=site:mit.edu+campus+location+city
cambridge,ug,admissions,"deadline,documents,eligibility",https://www.undergraduate.study.cam.ac.uk/applying,https://www.google.com/search?q=site:cam.ac.uk+application+deadline+required+documents
cambridge,ug,fees,tuition,https://www.undergraduate.study.cam.ac.uk/finance?ucam-ref=global-header,https://www.google.com/search?q=site:cam.ac.uk+tuition+fee+per+year+cost
cambridge,ug,english,english,,https://www.google.com/search?q=site:cam.ac.uk+TOEFL+IELTS+minimum+score+english+language+requirement
cambridge,ug,program,"language,duration",,https://www.google.com/search?q=site:cam.ac.uk+programme+duration+language+of+instruction
cambridge,ug,about,city,https://www.cam.ac.uk/about-us,https://www.google.com/search?q=site:cam.ac.uk+campus+location+city
